meta_id,meta_name,meta_owner,meta_visualization,prompt_context_dataset_name,query_type,has_service,limit,sparql_len,declared_prefix_count,prefix_count,exec_class,exec_error
683473f9a6b754166f794b20,rioned-kkg-leidingnetwerk,Kadaster,Geo,Kadaster Knowledge Graph (KKG),SELECT,True,,626,3,9,missing,
684b121cb90a49d9bf25b8f0,tutorial-waardelijsten,Kadaster,Table,Kadaster Knowledge Graph (KKG),SELECT,False,,340,4,9,missing,
686cef8eccfd960dd746fda6,Windturbines per jaar (BGT),Data Science Team (DST),Charts,Basisregistratie Grootschalige Topografie (BGT),SELECT,False,,592,2,4,missing,
686f797cccfd960dd78e2bb2,aantal windturbines RIVM dataset,Data Science Team (DST),Table,windturbines,SELECT,False,,195,1,3,missing,
686f7a76409a00c257f2dd2e,RIVM windturbines op de kaart,Data Science Team (DST),Geo,windturbines,SELECT,False,,164,1,3,missing,
686f7cb8feb13347665e9435,windturbines per provincie,Data Science Team (DST),Charts,windturbines,SELECT,False,,389,2,3,missing,
686f7ecfccfd960dd7c506df,"aantal windturbines rivm land,zee,binnenwater",Data Science Team (DST),Charts,windturbines,SELECT,False,,266,1,3,missing,
686f98efccfd960dd7a37ed5,hoogte classificatie windturbines rivm,Data Science Team (DST),Charts,windturbines,SELECT,False,,172,1,3,missing,
686fcba8ccfd960dd778c865,Overlap Windturbines RIVM en BGT Kaart,Data Science Team (DST),Geo,windturbines,SELECT,False,,986,10,3,missing,
68b9a8b4eec0c40512a9b774,Oud Lisse Percelen,Hans Schevers,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,1108,5,9,missing,
68b9ab5deec0c40512aabc59,Oud Lisse Gebouwen,Hans Schevers,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,1925,5,9,missing,
68bedfbbeec0c4051227cb1a,OudLisse bouwwerken,Hans Schevers,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,1399,5,9,missing,
68bef425c82a94d9b393ad8c,OUDLisse adressen,Hans Schevers,Geo,Kadaster Knowledge Graph (KKG),SELECT,False,,2241,5,9,missing,
69089d3dcf4e6d73f3dcfff3,ExtendedKKG_Corop_gebieden,Hans Schevers,Geo,Extended Knowledge Graph,SELECT,False,,233,0,1,missing,
69089e6f8e3d34e56694ba33,ExtendedKnowledgeGraph_Corop_gemeentegebied,Hans Schevers,Geo,Extended Knowledge Graph,SELECT,True,,517,2,1,missing,
690c5adecf4e6d73f3b61a48,service query timeout,Hans Schevers,Table,Kadaster Knowledge Graph (KKG),SELECT,True,100.0,404,3,9,missing,
